iter	Passed	Remaining
402	11058	16381
403	11092	16363
404	11118	16335
405	11145	16306
406	11169	16273
407	11195	16244
408	11223	16217
409	11254	16195
410	11280	16166
411	11306	16137
412	11334	16109
413	11368	16092
414	11404	16076
415	11432	16048
416	11459	16020
417	11485	15992
418	11515	15967
419	11543	15941
420	11570	15913
421	11597	15884
422	11626	15859
423	11651	15828
424	11678	15800
425	11705	15772
426	11731	15743
427	11758	15714
428	11788	15690
429	11817	15664
430	11845	15638
431	11872	15610
432	11897	15579
433	11923	15550
434	11949	15520
435	11974	15489
436	12000	15460
437	12026	15430
438	12053	15403
439	12080	15374
440	12106	15346
441	12131	15315
442	12159	15288
443	12186	15260
444	12212	15231
445	12242	15207
446	12280	15192
447	12307	15164
448	12335	15138
449	12363	15111
450	12394	15087
451	12420	15058
452	12448	15031
453	12472	15000
454	12499	14971
455	12524	14941
456	12553	14915
457	12583	14891
458	12610	14863
459	12638	14836
460	12664	14807
461	12691	14779
462	12718	14751
463	12742	14719
464	12768	14690
465	12796	14663
466	12824	14637
467	12849	14607
468	12875	14578
469	12901	14548
470	12929	14521
471	12955	14492
472	12981	14463
473	13006	14433
474	13032	14404
475	13058	14375
476	13086	14349
477	13113	14320
478	13140	14292
479	13168	14265
480	13193	14235
481	13220	14207
482	13245	14177
483	13271	14149
484	13299	14121
485	13326	14094
486	13355	14068
487	13381	14040
488	13408	14011
489	13437	13986
490	13462	13956
491	13489	13928
492	13515	13899
493	13542	13870
494	13572	13846
495	13598	13818
496	13627	13792
497	13653	13762
498	13679	13734
499	13707	13707
500	13731	13677
501	13758	13648
502	13785	13621
503	13812	13593
504	13841	13567
505	13867	13539
506	13895	13511
507	13923	13484
508	13950	13457
509	13979	13431
510	14005	13402
511	14034	13376
512	14059	13346
513	14086	13318
514	14112	13290
515	14138	13261
516	14166	13234
517	14193	13206
518	14219	13178
519	14245	13149
520	14273	13122
521	14299	13094
522	14326	13066
523	14353	13038
524	14378	13009
525	14404	12980
526	14431	12952
527	14458	12924
528	14483	12895
529	14510	12867
530	14536	12839
531	14563	12811
532	14589	12782
533	14615	12754
534	14642	12727
535	14671	12700
536	14697	12672
537	14724	12644
538	14751	12616
539	14776	12587
540	14802	12559
541	14830	12532
542	14858	12504
543	14885	12477
544	14910	12447
545	14937	12420
546	14967	12395
547	15004	12375
548	15032	12348
549	15062	12324
550	15091	12297
551	15120	12271
552	15149	12245
553	15174	12216
554	15202	12189
555	15227	12160
556	15255	12133
557	15282	12105
558	15307	12076
559	15334	12048
560	15361	12021
561	15390	11994
562	15417	11967
563	15443	11938
564	15470	11910
565	15499	11884
566	15526	11857
567	15553	11829
568	15579	11801
569	15609	11775
570	15636	11748
571	15663	11720
572	15696	11697
573	15722	11668
574	15748	11640
575	15775	11612
576	15801	11584
577	15828	11556
578	15856	11529
579	15882	11501
580	15910	11474
581	15937	11446
582	15964	11418
583	15989	11390
584	16016	11361
585	16042	11333
586	16068	11305
587	16095	11277
588	16124	11251
589	16152	11224
590	16179	11196
591	16206	11169
592	16231	11140
593	16259	11113
594	16286	11085
595	16314	11058
596	16341	11031
597	16368	11003
598	16395	10975
599	16423	10949
600	16452	10922
601	16478	10894
602	16505	10866
603	16531	10838
604	16558	10811
605	16588	10784
606	16615	10757
607	16644	10731
608	16673	10705
609	16704	10679
610	16732	10652
611	16758	10624
612	16785	10597
613	16813	10570
614	16844	10544
615	16872	10517
616	16901	10491
617	16928	10464
618	16958	10437
619	16985	10410
620	17011	10382
621	17037	10353
622	17066	10327
623	17094	10300
624	17120	10272
625	17148	10245
626	17175	10217
627	17203	10190
628	17228	10161
629	17255	10134
630	17281	10105
631	17308	10078
632	17336	10051
633	17363	10023
634	17389	9995
635	17414	9967
636	17440	9938
637	17466	9910
638	17493	9882
639	17522	9856
640	17547	9827
641	17575	9800
642	17601	9772
643	17629	9745
644	17655	9717
645	17681	9689
646	17714	9665
647	17742	9637
648	17770	9610
649	17797	9583
650	17825	9556
651	17855	9530
652	17882	9502
653	17909	9474
654	17936	9447
655	17964	9420
656	17992	9393
657	18019	9365
658	18048	9338
659	18073	9310
660	18100	9282
661	18127	9255
662	18153	9227
663	18181	9200
664	18208	9172
665	18235	9144
666	18261	9117
667	18288	9089
668	18314	9061
669	18341	9033
670	18368	9006
671	18396	8979
672	18423	8951
673	18450	8924
674	18474	8895
675	18500	8866
676	18526	8839
677	18551	8810
678	18577	8782
679	18603	8754
680	18631	8727
681	18659	8700
682	18686	8672
683	18715	8646
684	18740	8617
685	18767	8590
686	18794	8562
687	18822	8535
688	18849	8508
689	18874	8479
690	18900	8451
691	18926	8424
692	18955	8397
693	18980	8368
694	19008	8341
695	19036	8314
696	19063	8287
697	19090	8259
698	19118	8232
699	19146	8205
700	19173	8178
701	19201	8151
702	19229	8124
703	19256	8096
704	19282	8068
705	19309	8041
706	19336	8013
707	19361	7985
708	19391	7958
709	19420	7932
710	19447	7904
711	19476	7878
712	19505	7851
713	19533	7824
714	19561	7797
715	19586	7769
716	19613	7741
717	19641	7714
718	19668	7686
719	19697	7660
720	19724	7632
721	19751	7605
722	19781	7578
723	19808	7551
724	19836	7524
725	19864	7497
726	19893	7470
727	19918	7442
728	19944	7414
729	19972	7387
730	20001	7360
731	20028	7332
732	20057	7305
733	20085	7279
734	20113	7251
735	20140	7224
736	20168	7197
737	20197	7170
738	20224	7142
739	20252	7115
740	20280	7088
741	20307	7061
742	20334	7033
743	20363	7006
744	20392	6980
